txtStim,stimFile,AI_Resp,ExplanationFile,Loop_1.thisRepN,Loop_1.thisTrialN,Loop_1.thisN,Loop_1.thisIndex,Loop_2.thisRepN,Loop_2.thisTrialN,Loop_2.thisN,Loop_2.thisIndex,Loop_3.thisRepN,Loop_3.thisTrialN,Loop_3.thisN,Loop_3.thisIndex,Loop_4.thisRepN,Loop_4.thisTrialN,Loop_4.thisN,Loop_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trial_start,Conversational_Intro_Txt.started,Conversational_Intro_Txt.stopped,Accept_Deny_Button.response,Accept_Deny_Button.rt,Accept_Deny_Button.started,Accept_Deny_Button.stopped,ConfidenceSlider.response,ConfidenceSlider.rt,ConfidenceSlider.started,ConfidenceSlider.stopped,Experimental_Images.started,Experimental_Images.stopped,DenySlider.response,DenySlider.rt,DenySlider.started,DenySlider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,Click_to_Continue.started,Click_to_Continue.stopped,trial_end,Q1_Slider.response,Q2_Slider.response,Q3_Slider.response,Q4_Slider.response,Q5_Slider.response,Q6_Slider.response,Q7_Slider.response,Q8_Slider.response,Q9_Slider.response,Q10_Slider.response,Q11_Slider.response,Q12_Slider.response,Q13_Slider.response,Q14_Slider.response,Q15_Slider.response,Q16_Slider.response,Q17_Slider.response,Q18_Slider.response,Q19_Slider.response,Q20_Slider.response,Q21_Slider.response,Q22_Slider.response,Q23_Slider.response,Text_Intro_Txt.started,Text_Intro_Txt.stopped,Question_Txt_5.started,Question_Txt_5.stopped,Accept_Deny_Button_5.response,Accept_Deny_Button_5.rt,Accept_Deny_Button_5.started,Accept_Deny_Button_5.stopped,ConfidenceSlider_5.response,ConfidenceSlider_5.rt,ConfidenceSlider_5.started,ConfidenceSlider_5.stopped,DenySlider_5.response,DenySlider_5.rt,DenySlider_5.started,DenySlider_5.stopped,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.time,mouse_8.clicked_name,mouse_8.started,mouse_8.stopped,Click_to_Continue_8.started,Click_to_Continue_8.stopped,Image_Intro_Txt.started,Image_Intro_Txt.stopped,Question_Txt_4.started,Question_Txt_4.stopped,Accept_Deny_Button_4.response,Accept_Deny_Button_4.rt,Accept_Deny_Button_4.started,Accept_Deny_Button_4.stopped,ConfidenceSlider_4.response,ConfidenceSlider_4.rt,ConfidenceSlider_4.started,ConfidenceSlider_4.stopped,Experimental_Images_4.started,Experimental_Images_4.stopped,DenySlider_4.response,DenySlider_4.rt,DenySlider_4.started,DenySlider_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,mouse_7.started,mouse_7.stopped,Click_to_Continue_7.started,Click_to_Continue_7.stopped,PresstoCont_7.started,PresstoCont_7.stopped,Feature_Intro_Txt.started,Feature_Intro_Txt.stopped,Question_Txt_3.started,Question_Txt_3.stopped,Accept_Deny_Button_3.response,Accept_Deny_Button_3.rt,Accept_Deny_Button_3.started,Accept_Deny_Button_3.stopped,ConfidenceSlider_3.response,ConfidenceSlider_3.rt,ConfidenceSlider_3.started,ConfidenceSlider_3.stopped,Experimental_Images_3.started,Experimental_Images_3.stopped,DenySlider_3.response,DenySlider_3.rt,DenySlider_3.started,DenySlider_3.stopped,Click_to_Continue_6.started,Click_to_Continue_6.stopped,PresstoCont_8.started,PresstoCont_8.stopped,Intro_Text.started,Intro_Text.stopped,Stim_slider.response,Stim_slider.rt,Stim_slider.started,Stim_slider.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,Click_to_Continue_5.started,Click_to_Continue_5.stopped,Choice_3_Intro_Txt.started,Choice_3_Intro_Txt.stopped,Question_Txt_8.started,Question_Txt_8.stopped,Accept_Deny_Button_8.response,Accept_Deny_Button_8.rt,Accept_Deny_Button_8.started,Accept_Deny_Button_8.stopped,ConfidenceSlider_8.response,ConfidenceSlider_8.rt,ConfidenceSlider_8.started,ConfidenceSlider_8.stopped,Experimental_Images_8.started,Experimental_Images_8.stopped,DenySlider_8.response,DenySlider_8.rt,DenySlider_8.started,DenySlider_8.stopped,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.time,mouse_11.clicked_name,mouse_11.started,mouse_11.stopped,Click_to_Continue_11.started,Click_to_Continue_11.stopped,end_Txt.started,end_Txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 1:,stim/Tp_D_CNN_M_N_ani00023_ani00024_10205.tif,"The AI system has determined that the above image is not authentic. 
Do you accept or deny this claim?",stim/conversational_Tp_D_CNN_M_N_ani00023_ani00024_10205.tif.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:27:17,249.25175310000031,259.29863360000036,1.0,21.46933259999969,259.29863360000036,None,5.0,22.87144679999983,259.29863360000036,None,259.29863360000036,None,1.0,24.594263099999807,259.29863360000036,None,"[-0.59537035, -0.5777778, -0.25185186, 0.30925927, 0.5453704]","[-0.0712963, -0.08611111, -0.29722223, -0.19444445, -0.4537037]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[10.851793300000281, 11.275829900000645, 12.695459500000652, 14.483058400000118, 15.507043700000395]",['Click_to_Continue'],10.056475270000192,None,273.879054,None,09:27:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 2:,stim/Tp_D_CNN_S_N_art00007_art00008_01197.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CNN_S_N_art00007_art00008_01197.tif.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:27:43,274.8563778000007,284.8763518000005,1.0,31.35582919999979,284.8763518000005,None,4.0,38.550310399999944,284.8763518000005,None,284.8763518000005,None,3.0,43.87212539999928,284.8763518000005,None,"[-0.5675926, -0.3564815, 0.5083333, 0.57222223]","[-0.10555556, -0.2962963, -0.20185184, -0.45555556]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[21.204703499999596, 28.40718509999988, 33.721158999999716, 35.571256999999605]",['Click_to_Continue'],10.027925170000344,None,318.75971860000027,None,09:28:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 3:,stim/Au_pla_20034.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Au_pla_20034.jpg.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:28:29,320.5055005000004,330.5323986000003,1.0,31.113197300000138,330.5049458000003,None,4.0,38.48168280000027,330.5049458000003,None,330.5049458000003,None,3.0,42.22660639999958,330.5049458000003,None,"[-0.587037, -0.35092592, 0.51296294, 0.51111114, 0.50185186, 0.5638889]","[-0.107407406, -0.30462962, -0.18981482, -0.19814815, -0.21666667, -0.45833334]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[20.96958209999957, 28.37704489999942, 31.022632999999587, 31.618714599999294, 32.119273399999656, 33.41596079999999]",['Click_to_Continue'],10.016112760000397,None,362.76855370000067,None,09:29:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 4:,stim/Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CNN_M_B_nat00056_nat00099_11105.jpg.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:29:12,363.9776892,374.02663720000055,2.0,20.87957700000061,373.9921813000001,None,4.0,24.255265100000543,373.9921813000001,None,373.9921813000001,None,1.0,28.53082329999961,373.9921813000001,None,"[-0.3287037, -0.35, 0.27962962, 0.31203705, 0.5888889]","[-0.096296296, -0.3, -0.19537038, -0.21388888, -0.45277777]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[10.734295900000689, 14.10494540000036, 17.886929500000406, 18.41825030000018, 19.53792980000071]",['Click_to_Continue'],10.031429259998731,None,392.5405801000006,None,09:29:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 5:,stim/Au_ani_10178.jpg.png,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_ani_10178.jpg.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:29:42,393.58837930000027,403.63503410000067,1.0,19.310448200000792,403.60449340000014,None,4.0,22.07524100000046,403.60449340000014,None,403.60449340000014,None,1.0,27.483689599999707,403.60449340000014,None,"[-0.56666666, -0.3564815, 0.30092594, 0.53518516]","[-0.09166667, -0.3, -0.21018519, -0.4462963]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[9.118072600000232, 11.95023780000065, 17.367464500000096, 18.3712716]",['Click_to_Continue'],10.032961859998977,None,421.1062765000006,None,09:30:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 6:,stim/Tp_D_CNN_S_N_nat00095_ani00017_10219.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CNN_S_N_nat00095_ani00017_10219.tif.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30:10,422.03049510000073,432.0717525,1.0,24.47978990000047,432.04529920000004,None,3.0,29.046392399999604,432.04529920000004,None,432.04529920000004,None,3.0,33.10854759999984,432.04529920000004,None,"[-0.57222223, -0.45462963, 0.51296294, 0.5, 0.55]","[-0.094444446, -0.29814816, -0.19444445, -0.19537038, -0.45277777]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[14.31187190000037, 18.891632400000162, 21.21981230000074, 22.9927002000004, 25.734551100000317]",['Click_to_Continue'],10.035494859999744,None,455.17163490000075,None,09:30:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 7: ,stim/Au_nat_30517.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Au_nat_30517.jpg.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30:46,457.82621370000015,467.8611636000005,1.0,36.81744699999945,467.83563200000026,None,3.0,38.10178579999956,467.83563200000026,None,467.83563200000026,None,2.0,40.106241899999986,467.83563200000026,None,"[-0.5537037, -0.45092592, 0.40833333, 0.5537037]","[-0.097222224, -0.29537037, -0.19537038, -0.45462963]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[26.70435720000023, 27.957323600000564, 30.00752149999971, 30.88795680000021]",['Click_to_Continue'],10.019652670000141,None,497.9752490000001,None,09:31:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 8:,stim/Tp_D_CRD_M_N_nat00048_nat00049_11067.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRD_M_N_nat00048_nat00049_11067.jpg.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:31:27,498.7734381,508.80534549999993,1.0,36.2201769000003,508.80534549999993,None,3.0,38.798710899999605,508.80534549999993,None,508.80534549999993,None,3.0,39.96589409999979,508.80534549999993,None,"[-0.5712963, -0.45277777, 0.4888889, 0.56203705]","[-0.098148145, -0.30185184, -0.20555556, -0.4601852]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[25.967525500000193, 28.601518299999952, 29.848043799999687, 30.814318400000047]",['Click_to_Continue'],10.038564969999243,None,538.8070775000006,None,09:32:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 9:,stim/Au_arc_30794.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_arc_30794.jpg.png,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:32:08,539.6682962000004,549.7069136,1.0,26.513554799999838,549.6814406000003,None,5.0,28.43302930000027,549.6814406000003,None,549.6814406000003,None,1.0,34.13092520000009,549.6814406000003,None,"[-0.5648148, -0.25185186, 0.29444444, 0.5462963]","[-0.10185185, -0.2888889, -0.21111111, -0.44351852]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[16.384035899999617, 18.323491699999977, 24.01755349999985, 25.22697220000009]",['Click_to_Continue'],10.021032469999227,None,573.8431808000005,None,09:32:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 10:,stim/Au_nat_30352.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Au_nat_30352.jpg.png,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:32:43,574.9577760000002,584.9782352000002,1.0,20.934490300000107,584.9782352000002,None,4.0,21.654762400000436,584.9782352000002,None,584.9782352000002,None,3.0,22.75495729999966,584.9782352000002,None,"[-0.56203705, -0.3462963, 0.4962963, 0.5509259]","[-0.11018518, -0.29907408, -0.2, -0.4564815]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[10.789417599999979, 11.52806849999979, 12.63371350000034, 14.936944300000505]",['Click_to_Continue'],10.027741070000957,None,597.7459566000007,None,09:33:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 12:,stim/Au_arc_30827.jpg.png,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_arc_30827.jpg.png,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:33:08,599.9663771000005,610.0048388000005,2.0,39.95647410000038,609.9787699000008,None,4.0,42.89470859999983,609.9787699000008,None,609.9787699000008,None,1.0,49.85731040000064,609.9787699000008,None,"[-0.31666666, -0.35092592, 0.3148148, 0.57222223]","[-0.1, -0.30185184, -0.18796296, -0.4537037]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[29.76864999999998, 32.779367099999945, 39.71102669999982, 40.773868700000094]",['Click_to_Continue'],10.017368169999827,None,649.8668526000001,None,09:33:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 13:,stim/Au_art_10012.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Au_art_10012.jpg.png,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:33:59,650.8293546000004,660.8764695,1.0,12.619067599999653,660.8482352999999,None,5.0,13.47870520000015,660.8482352999999,None,660.8482352999999,None,1.0,15.221862000000328,660.8482352999999,None,"[-0.57314813, -0.25092593, 0.3, 0.5574074]","[-0.08888889, -0.3037037, -0.19444445, -0.45462963]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.4414655999999013, 3.328318599999875, 5.108071799999379, 6.622807999999168]",['Click_to_Continue'],10.034875650000686,None,666.0856978000002,None,09:34:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 14:,stim/Tp_D_CRN_M_B_nat10165_nat10164_12100.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_M_B_nat10165_nat10164_12100.jpg.png,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:34:16,667.5190876000006,677.5537221000004,1.0,37.10845379999955,677.5270983999999,None,3.0,38.36759380000058,677.5270983999999,None,677.5270983999999,None,3.0,40.87680240000009,677.5270983999999,None,"[-0.5611111, -0.45555556, 0.51111114, 0.49351853, 0.5740741]","[-0.1037037, -0.2962963, -0.21111111, -0.19166666, -0.45555556]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[26.93969449999986, 28.23521890000029, 29.70721330000015, 30.759654299999966, 31.66381459999957]",['Click_to_Continue'],10.016724269999031,None,708.4371986000006,None,09:34:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 15:,stim/Tp_D_CRN_M_N_art10115_cha00086_11526.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_M_N_art10115_cha00086_11526.jpg.png,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:34:57,709.2509637000003,719.2845695000005,2.0,24.351478400000815,719.2587532000007,None,4.0,26.521547199999986,719.2587532000007,None,719.2587532000007,None,1.0,29.366983300000356,719.2587532000007,None,"[-0.33240741, -0.3462963, 0.29074073, 0.57314813]","[-0.1, -0.29537037, -0.19629629, -0.45]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[14.2118875999995, 16.399203499999203, 19.296439599999758, 20.021814799999447]",['Click_to_Continue'],10.024250759999632,None,738.6509640000004,None,09:35:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
Question 16:,stim/Tp_D_CRN_M_N_nat10154_nat10138_12076.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/conversational_Tp_D_CRN_M_N_nat10154_nat10138_12076.jpg.png,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:35:28,739.3529742000001,749.4072183000007,1.0,36.7208842,749.3719245000002,None,4.0,40.94001029999981,749.3719245000002,None,749.3719245000002,None,3.0,41.95779020000009,749.3719245000002,None,"[-0.5833333, -0.35740742, 0.5074074, 0.5638889]","[-0.1037037, -0.29907408, -0.18796296, -0.45740741]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[26.579578400000173, 30.805116999999882, 31.844990399999915, 32.759929300000294]",['Click_to_Continue'],10.038954450001256,None,781.3454336000004,None,09:36:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2022-07-26_09h26.11.500,CSVTrial,2022.1.3,60.91458374313905,
