txtStim,stimFile,AI_Resp,ExplanationFile,Loop_1.thisRepN,Loop_1.thisTrialN,Loop_1.thisN,Loop_1.thisIndex,Loop_2.thisRepN,Loop_2.thisTrialN,Loop_2.thisN,Loop_2.thisIndex,Loop_3.thisRepN,Loop_3.thisTrialN,Loop_3.thisN,Loop_3.thisIndex,Loop_4.thisRepN,Loop_4.thisTrialN,Loop_4.thisN,Loop_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trial_start,Feature_Intro_Txt.started,Feature_Intro_Txt.stopped,Question_Txt_3.started,Question_Txt_3.stopped,Accept_Deny_Button_3.response,Accept_Deny_Button_3.rt,Accept_Deny_Button_3.started,Accept_Deny_Button_3.stopped,ConfidenceSlider_3.response,ConfidenceSlider_3.rt,ConfidenceSlider_3.started,ConfidenceSlider_3.stopped,Experimental_Images_3.started,Experimental_Images_3.stopped,DenySlider_3.response,DenySlider_3.rt,DenySlider_3.started,DenySlider_3.stopped,Click_to_Continue_6.started,Click_to_Continue_6.stopped,trial_end,PresstoCont_8.started,PresstoCont_8.stopped,Q1_Slider.response,Q2_Slider.response,Q3_Slider.response,Q4_Slider.response,Q5_Slider.response,Q6_Slider.response,Q7_Slider.response,Q8_Slider.response,Q9_Slider.response,Q10_Slider.response,Q11_Slider.response,Q12_Slider.response,Q13_Slider.response,Q14_Slider.response,Q15_Slider.response,Q16_Slider.response,Q17_Slider.response,Q18_Slider.response,Q19_Slider.response,Q20_Slider.response,Q21_Slider.response,Q22_Slider.response,Q23_Slider.response,Text_Intro_Txt.started,Text_Intro_Txt.stopped,Question_Txt_5.started,Question_Txt_5.stopped,Accept_Deny_Button_5.response,Accept_Deny_Button_5.rt,Accept_Deny_Button_5.started,Accept_Deny_Button_5.stopped,ConfidenceSlider_5.response,ConfidenceSlider_5.rt,ConfidenceSlider_5.started,ConfidenceSlider_5.stopped,DenySlider_5.response,DenySlider_5.rt,DenySlider_5.started,DenySlider_5.stopped,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.time,mouse_8.clicked_name,mouse_8.started,mouse_8.stopped,Click_to_Continue_8.started,Click_to_Continue_8.stopped,Conversational_Intro_Txt.started,Conversational_Intro_Txt.stopped,Accept_Deny_Button.response,Accept_Deny_Button.rt,Accept_Deny_Button.started,Accept_Deny_Button.stopped,ConfidenceSlider.response,ConfidenceSlider.rt,ConfidenceSlider.started,ConfidenceSlider.stopped,Experimental_Images.started,Experimental_Images.stopped,DenySlider.response,DenySlider.rt,DenySlider.started,DenySlider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,Click_to_Continue.started,Click_to_Continue.stopped,Image_Intro_Txt.started,Image_Intro_Txt.stopped,Question_Txt_4.started,Question_Txt_4.stopped,Accept_Deny_Button_4.response,Accept_Deny_Button_4.rt,Accept_Deny_Button_4.started,Accept_Deny_Button_4.stopped,ConfidenceSlider_4.response,ConfidenceSlider_4.rt,ConfidenceSlider_4.started,ConfidenceSlider_4.stopped,Experimental_Images_4.started,Experimental_Images_4.stopped,DenySlider_4.response,DenySlider_4.rt,DenySlider_4.started,DenySlider_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,mouse_7.started,mouse_7.stopped,Click_to_Continue_7.started,Click_to_Continue_7.stopped,PresstoCont_7.started,PresstoCont_7.stopped,Intro_Text.started,Intro_Text.stopped,Stim_slider.response,Stim_slider.rt,Stim_slider.started,Stim_slider.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,Click_to_Continue_5.started,Click_to_Continue_5.stopped,Choice_3_Intro_Txt.started,Choice_3_Intro_Txt.stopped,Question_Txt_8.started,Question_Txt_8.stopped,Accept_Deny_Button_8.response,Accept_Deny_Button_8.rt,Accept_Deny_Button_8.started,Accept_Deny_Button_8.stopped,ConfidenceSlider_8.response,ConfidenceSlider_8.rt,ConfidenceSlider_8.started,ConfidenceSlider_8.stopped,Experimental_Images_8.started,Experimental_Images_8.stopped,DenySlider_8.response,DenySlider_8.rt,DenySlider_8.started,DenySlider_8.stopped,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.time,mouse_11.clicked_name,mouse_11.started,mouse_11.stopped,Click_to_Continue_11.started,Click_to_Continue_11.stopped,end_Txt.started,end_Txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 1:,stim/Au_ani_00001.jpg,"The AI system has determined that the above image is authentic. 
Do you accept or deny this claim?",stim/feature_based_Au_ani_00001.jpg.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:15:02",951.1351876000008,961.1983538999993,961.1733712999994,None,1.0,26.320599700000457,961.1733712999994,None,5.0,28.41787580000164,961.1733712999994,None,961.1733712999994,None,3.0,38.58813100000043,961.1733712999994,None,989.7611365000012,None,"Tuesday, July 26, 2022 01:15:42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 2:,stim/Tp_D_CNN_S_B_ind00018_ind00089_00007.tif,"The AI system has determined that the above image is authentic. 
Do you accept or deny this claim?",stim/feature_based_Tp_D_CNN_S_B_ind00018_ind00089_00007.tif.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:15:42",990.7165492999993,1000.762211199999,1000.7354143999983,None,2.0,33.927463400003035,1000.7354143999983,None,2.0,34.933146499999566,1000.7354143999983,None,1000.7354143999983,None,1.0,43.37050689999887,1000.7354143999983,None,1034.1202862999999,None,"Tuesday, July 26, 2022 01:16:26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 3:,stim/Au_ani_00003.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/feature_based_Au_ani_00003.jpg.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:16:26",1035.3045104000012,1045.3364469000007,1045.3116105000008,None,1.0,18.53689800000211,1045.3116105000008,None,5.0,24.01476410000032,1045.3116105000008,None,1045.3116105000008,None,1.0,25.850025199997617,1045.3116105000008,None,1061.1894910999981,None,"Tuesday, July 26, 2022 01:17:04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 4:,stim/Au_ani_00005.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/feature_based_Au_ani_00005.jpg.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:17:04",1073.0884054999988,1083.1203915999977,1083.0954063999998,None,2.0,34.453450500001054,1083.0954063999998,None,3.0,36.27174559999912,1083.0954063999998,None,1083.0954063999998,None,3.0,56.107726000002,1083.0954063999998,None,1129.2290527999976,None,"Tuesday, July 26, 2022 01:18:01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 5:,stim/Tp_D_CND_M_N_art00076_art00077_10289.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CND_M_N_art00076_art00077_10289.tif.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:18:01",1130.4752952999988,1140.520498400001,1140.493330199999,None,1.0,47.61539840000114,1140.493330199999,None,4.0,49.02309049999894,1140.493330199999,None,1140.493330199999,None,1.0,52.953752900000836,1140.493330199999,None,1183.4659415999995,None,"Tuesday, July 26, 2022 01:18:55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 6:,stim/Tp_D_CND_M_N_art00077_art00076_10290.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CND_M_N_art00077_art00076_10290.tif.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:18:55",1184.2973550999995,1194.3310921999982,1194.305227599998,None,1.0,42.99112999999852,1194.305227599998,None,3.0,44.27479999999923,1194.305227599998,None,1194.305227599998,None,3.0,47.47951219999959,1194.305227599998,None,1231.8155866999987,None,"Tuesday, July 26, 2022 01:19:43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 7:,stim/Au_ani_00017.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/feature_based_Au_ani_00017.jpg.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:19:43",1232.3636125000012,1242.4024662999982,1242.3711614999993,None,2.0,27.08504339999854,1242.3711614999993,None,1.0,51.09771120000005,1242.3711614999993,None,1242.3711614999993,None,1.0,53.1766592999993,1242.3711614999993,None,1285.5728180000006,None,"Tuesday, July 26, 2022 01:20:37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 8:,stim/Tp_D_CND_M_N_ani00018_sec00096_00138.tif,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CND_M_N_ani00018_sec00096_00138.tif.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:20:37",1286.3719878999982,1296.423278899998,1296.3868732999981,None,1.0,18.8773895000013,1296.3868732999981,None,4.0,22.049180800000613,1296.3868732999981,None,1296.3868732999981,None,3.0,34.85964479999893,1296.3868732999981,None,1321.2672980999996,None,"Tuesday, July 26, 2022 01:21:13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 9:,stim/Au_txt_00005.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Au_txt_00005.jpg.png,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:21:13",1321.9944759999998,1332.0363515999998,1332.0098476999992,None,2.0,34.31209100000342,1332.0098476999992,None,4.0,27.400689899997815,1332.0098476999992,None,1332.0098476999992,None,1.0,44.09834449999835,1332.0098476999992,None,1366.1247081000001,None,"Tuesday, July 26, 2022 01:22:02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 10:,stim/Tp_D_CND_S_N_ind00078_ind00077_00476.tif,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CND_S_N_ind00078_ind00077_00476.tif.png,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:22:02",1370.889366899999,1380.9385527999984,1380.9124536999989,None,2.0,17.77934120000282,1380.9124536999989,None,5.0,36.52257879999888,1380.9124536999989,None,1380.9124536999989,None,1.0,38.91776419999951,1380.9124536999989,None,1409.8432313999983,None,"Tuesday, July 26, 2022 01:22:58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 11:,stim/Au_ani_00021.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/feature_based_Au_ani_00021.jpg.png,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:22:58",1427.3329768000003,1437.3888262,1437.3520960999995,None,1.0,20.39893200000006,1437.3520960999995,None,4.0,29.58142130000124,1437.3520960999995,None,1437.3520960999995,None,3.0,44.739010000001144,1437.3520960999995,None,1472.110134399998,None,"Tuesday, July 26, 2022 01:23:46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 12:,stim/Tp_D_CND_S_N_txt00028_txt00006_10848.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CND_S_N_txt00028_txt00006_10848.jpg.png,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:23:46",1475.210517200001,1485.2373993,1485.2120453999996,None,1.0,34.00847910000084,1485.2120453999996,None,5.0,37.91677920000075,1485.2120453999996,None,1485.2120453999996,None,1.0,41.21018770000228,1485.2120453999996,None,1516.452326499999,None,"Tuesday, July 26, 2022 01:24:33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 13:,stim/Tp_D_CNN_M_N_txt00049_txt00050_10374.tif,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CNN_M_N_txt00049_txt00050_10374.tif.png,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:24:33",1521.9445917999983,1531.9617976000009,1531.9617976000009,None,2.0,49.46972900000037,1531.9617976000009,None,4.0,50.299350199999026,1531.9617976000009,None,1531.9617976000009,None,1.0,52.7415359000006,1531.9617976000009,None,1574.7185699000001,None,"Tuesday, July 26, 2022 01:25:27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 14:,stim/Au_txt_00038.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Au_txt_00038.jpg.png,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:25:27",1575.7171880999995,1585.7612678999976,1585.7299026,None,1.0,17.23063159999947,1585.7299026,None,5.0,19.192750400001387,1585.7299026,None,1585.7299026,None,1.0,22.373214199997165,1585.7299026,None,1598.125385700001,None,"Tuesday, July 26, 2022 01:25:50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 15:,stim/Tp_D_CNN_M_N_nat10139_nat00095_11947.jpg.png,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CNN_M_N_nat10139_nat00095_11947.jpg.png,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:25:50",1598.9517811000005,1609.0012779999997,1608.9657470999991,None,2.0,35.29445199999827,1608.9657470999991,None,3.0,37.182387000000745,1608.9657470999991,None,1608.9657470999991,None,3.0,41.519840699998895,1608.9657470999991,None,1640.5039572999995,None,"Tuesday, July 26, 2022 01:26:38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 16:,stim/Au_ani_00023.jpg,"The AI system has determined that the above image is authentic.
Do you accept or deny this claim?",stim/feature_based_Au_ani_00023.jpg.png,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:26:38",1647.5398712999995,1657.5594640999989,1657.5594640999989,None,1.0,13.604857399997854,1657.5594640999989,None,5.0,17.674405599998863,1657.5594640999989,None,1657.5594640999989,None,1.0,20.32153190000099,1657.5594640999989,None,1667.9037222999978,None,"Tuesday, July 26, 2022 01:27:01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 17:,stim/Tp_D_CNN_M_N_sec10110_sec10101_10298.tif.png,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Tp_D_CNN_M_N_sec10110_sec10101_10298.tif.png,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:27:01",1669.8623407999985,1679.9061282000002,1679.879022000001,None,1.0,45.62459669999953,1679.879022000001,None,4.0,46.85401869999987,1679.879022000001,None,1679.879022000001,None,2.0,50.66785680000248,1679.879022000001,None,1720.5653120999996,None,"Tuesday, July 26, 2022 01:27:52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
Question 18:,stim/Au_txt_00042.jpg,"The AI system has determined that the above image is not authentic.
Do you accept or deny this claim?",stim/feature_based_Au_txt_00042.jpg.png,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuesday, July 26, 2022 01:27:52",1721.344712099999,1731.3842931,1731.3578744999977,None,1.0,34.87844640000185,1731.3578744999977,None,2.0,36.63595720000012,1731.3578744999977,None,1731.3578744999977,None,2.0,38.590486999997665,1731.3578744999977,None,1759.972238899998,None,"Tuesday, July 26, 2022 01:28:32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760.8344202999979,None,3.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2022-07-26_13h13.38.321,CSVTrial2,2022.1.3,60.06428079417748,
